COUNTERPARTY ,NOTIONAL AMOUNT ,AMOUNT ,FUND ,MATURITY DATE ,CIK,Reporting Type,Report Year
Goldman Sachs ,26000000,"$26,000,000 ",Fixed ,Dec 2021 ,0001331971,N-CSRS,12
Royal Bank ,56000000,55370000,Fixed ,Dec 2013 ,0001331971,N-CSRS,12
Royal Bank ,56000000,55370000,AUD-BBR-,Dec 2015 ,0001331971,N-CSRS,12
